target_id	diff
ENST00000492277	1.7886297329916907
ENST00000378357	1.657347087067093
ENST00000518010	1.6032913913938036
ENST00000517331	1.577804805883453
ENST00000323851	1.5726062092377018
ENST00000518083	1.4761023637163178
ENST00000634143	1.4540226581342053
ENST00000617933	1.4255675107004984
ENST00000600447	1.387941243706699
ENST00000493245	1.3746512144420728
ENST00000379727	1.3742404560187051
ENST00000507010	1.3662398514803966
ENST00000620540	1.3549339665591469
ENST00000550238	1.3236645356081003
ENST00000601609	1.3116853028917865
ENST00000578491	1.2943361387900125
ENST00000523642	1.277511585450226
ENST00000469684	1.2768453764214438
ENST00000646101	1.2737626039493368
ENST00000232375	1.2513281194639605
ENST00000367240	1.2501248837687036
ENST00000631806	1.2481054967247682
ENST00000587210	1.234150069785655
ENST00000558355	1.2302547227857967
ENST00000486360	1.2278814546821322
ENST00000450393	1.2256038816106367
ENST00000395321	1.2114778331132092
ENST00000594656	1.1985145787265432
ENST00000594523	1.1880787408057505
ENST00000636861	1.171939892759559
ENST00000393924	1.1617960250324972
ENST00000322945	1.159756636279805
ENST00000430370	1.144333983429012
ENST00000429197	1.138299539649473
ENST00000561610	1.1351159382514138
ENST00000599514	1.1275800657212194
ENST00000534464	1.1225598998716975
ENST00000524948	1.119585774961784
ENST00000633835	1.114468114569945
ENST00000476930	1.1126050015345745
ENST00000347048	1.1116992775735506
ENST00000415851	1.1102691889255452
ENST00000530616	1.1095178021694245
ENST00000519278	1.1035069151234733
ENST00000539186	1.103011587581441
ENST00000228938	1.0995485615132445
ENST00000632704	1.0976492015559545
ENST00000619305	1.0966927433324158
ENST00000421349	1.091843308840926
ENST00000642873	1.0881166484931548
ENST00000579698	1.085843354020198
ENST00000224807	1.0807396832125715
ENST00000275521	1.0798405088438778
ENST00000643130	1.0794055735836503
ENST00000369387	1.0789495605356467
ENST00000489358	1.070032256088279
ENST00000295706	1.059316258392049
ENST00000521438	1.0549236946783518
ENST00000599966	1.04761933472744
ENST00000619610	1.047505885807107
ENST00000474249	1.0456830818809237
ENST00000395319	1.0437383034054362
ENST00000597023	1.0406493424550367
ENST00000293872	1.0398149125564593
ENST00000621863	1.0381118823859206
ENST00000427287	1.0358547740561714
ENST00000441031	1.035801109351981
ENST00000519580	1.031056236993769
ENST00000371084	1.0286467958897267
ENST00000421583	1.0206425712603386
ENST00000229277	1.0194736144475613
ENST00000393618	1.017567560417101
ENST00000357370	1.0161834145250341
ENST00000532966	1.014295352880428
ENST00000373189	1.0099832764787375
ENST00000243077	1.0024639411764997
ENST00000381086	1.0013658030973605
ENST00000431537	0.9995661647220284
ENST00000636411	0.9980129066909441
ENST00000437293	0.9942355512279154
ENST00000617999	0.9934277461268907
ENST00000421751	0.9921629268125522
ENST00000553999	0.9912172124493613
ENST00000521173	0.9900247880854889
ENST00000301455	0.987115880061763
ENST00000323523	0.9847755368004868
ENST00000399292	0.9814952817399015
ENST00000489041	0.9804758941723491
ENST00000409849	0.9803408486763812
ENST00000535366	0.9794370758851154
ENST00000607886	0.9772730768801328
ENST00000641610	0.9744513570753912
ENST00000600426	0.9733260924481042
ENST00000474281	0.9727347638126502
ENST00000538491	0.9711352370587937
ENST00000489650	0.9707540107794261
ENST00000607833	0.9705737288638674
ENST00000637877	0.9681680428989736
ENST00000602130	0.9680345292384818
ENST00000405271	0.9666375316662102
ENST00000368636	0.9642790810968783
ENST00000466982	0.9638911269203216
ENST00000619874	0.9631642617282669
ENST00000465383	0.962471984669186
ENST00000613627	0.9621154099328026
ENST00000539029	0.9610545182651429
ENST00000469967	0.960581024853024
ENST00000542509	0.9556103662746002
ENST00000412035	0.9507440769866621
ENST00000529548	0.9488055118208027
ENST00000453780	0.9481840205134774
ENST00000445633	0.9458060803908396
ENST00000647131	0.9429579941828324
ENST00000522665	0.9422095189254406
ENST00000395048	0.9394818766385096
ENST00000633895	0.9390361263043537
ENST00000417537	0.9372485057881756
ENST00000630571	0.9324935510077182
ENST00000520409	0.9305008046890266
ENST00000265881	0.9292412315744584
ENST00000429205	0.9281726012153233
ENST00000626999	0.9265726227824349
ENST00000575977	0.9265726227824349
ENST00000470252	0.926092661377898
ENST00000456234	0.9260351180380552
ENST00000492485	0.9260215538185692
ENST00000424740	0.9255153030090043
ENST00000610535	0.9252078124798925
ENST00000487721	0.9229936185279778
ENST00000494573	0.9216563708680955
ENST00000429279	0.9203712001061961
ENST00000429409	0.9202945047986965
ENST00000540159	0.9172609007511546
ENST00000327299	0.9170502904131769
ENST00000380629	0.9169915438925026
ENST00000476531	0.9132904315320997
ENST00000531696	0.9120394059932159
ENST00000638217	0.9104744567094145
ENST00000474968	0.9085911284820383
ENST00000566292	0.9083986875681717
ENST00000619960	0.9066483324257711
ENST00000523515	0.904103705275999
ENST00000232125	0.8998991057671415
ENST00000550552	0.8994265050877274
ENST00000389131	0.8968504114767897
ENST00000243786	0.8956652023767915
ENST00000549601	0.8948270550697138
ENST00000489434	0.8944162338640658
ENST00000542989	0.8918789350170908
ENST00000415187	0.8916868426593545
ENST00000567992	0.8911550277018406
ENST00000540021	0.8910139288678683
ENST00000564518	0.8900973148041601
ENST00000498203	0.8886260768594422
ENST00000478815	0.8878562929280612
ENST00000554617	0.8868390823876964
ENST00000634926	0.8867980066897521
ENST00000310837	0.8866418153043375
ENST00000509889	0.8798668276756413
ENST00000521414	0.8795947828746832
ENST00000577411	0.8770584000697016
ENST00000637245	0.8753470449018594
ENST00000398846	0.8741423269768364
ENST00000485665	0.8715830970661433
ENST00000519640	0.8703675491605708
ENST00000525972	0.8698445813373459
ENST00000421354	0.869623337910766
ENST00000393962	0.8690274997361062
ENST00000404742	0.8657707802269973
ENST00000551582	0.8647631597377246
ENST00000452355	0.8641834567555404
ENST00000466437	0.8641467955657323
ENST00000503078	0.8640735454119834
ENST00000471340	0.8621492756949235
ENST00000589398	0.8612653418022695
ENST00000561085	0.8599592564813558
ENST00000539713	0.857175258194319
ENST00000278175	0.856949867199051
ENST00000411929	0.8558809898530401
ENST00000535275	0.8557836701259
ENST00000449474	0.8555663985229612
ENST00000545305	0.8555177211167939
ENST00000465980	0.8554627241605359
ENST00000488995	0.8554397267882868
ENST00000229384	0.8548250627028798
ENST00000610817	0.853764464800119
ENST00000638475	0.8527571421752785
ENST00000619580	0.8525560697397252
ENST00000395066	0.8521829922268875
ENST00000519363	0.851732755031497
ENST00000626709	0.8493327919737171
ENST00000415036	0.8488166897193388
ENST00000471240	0.8478110026305545
ENST00000307365	0.844676758027259
ENST00000450000	0.8446024109818783
ENST00000606212	0.8445604230749835
ENST00000369658	0.8443095876731955
ENST00000392571	0.8415971716781222
ENST00000618838	0.8415125395362387
ENST00000558394	0.8414552049394546
ENST00000307116	0.8397167255088833
ENST00000377493	0.8391114763851608
ENST00000640150	0.8378168877365497
ENST00000633329	0.837691026810872
ENST00000443272	0.8376408511300482
